valid_time,model_level,latitude,longitude,no2,go3
2022-01-01 00:00:00,60.0,37.5,-8.0,1.1638338e-08,2.9361836e-08
2022-01-01 00:00:00,60.0,37.5,-7.25,8.431705e-09,2.8087094e-08
2022-01-01 00:00:00,60.0,37.5,-6.5,1.1227616e-08,2.074578e-08
2022-01-01 00:00:00,60.0,37.5,-5.75,1.1937292e-08,1.5597166e-08
2022-01-01 00:00:00,60.0,37.5,-5.0,1.2242378e-08,1.5713454e-08
2022-01-01 00:00:00,60.0,37.5,-4.25,1.2425666e-08,2.089321e-08
2022-01-01 00:00:00,60.0,37.5,-3.5,1.0685138e-08,2.7974806e-08
2022-01-01 00:00:00,60.0,37.5,-2.75,8.101768e-09,3.339448e-08
2022-01-01 00:00:00,60.0,37.5,-2.0,7.1470754e-09,3.652385e-08
2022-01-01 00:00:00,60.0,37.5,-1.25,7.828508e-09,4.2716756e-08
2022-01-01 00:00:00,60.0,37.5,-0.5,6.2924808e-09,5.6141097e-08
2022-01-01 00:00:00,60.0,37.5,0.25,2.534264e-09,6.768438e-08
2022-01-01 00:00:00,60.0,37.5,1.0,2.3956939e-09,7.0847136e-08
2022-01-01 00:00:00,60.0,37.5,1.75,2.6545162e-09,7.24478e-08
2022-01-01 00:00:00,60.0,37.5,2.5,4.1201065e-09,7.330034e-08
2022-01-01 00:00:00,60.0,37.5,3.25,6.642771e-09,7.2867984e-08
2022-01-01 00:00:00,60.0,36.75,-9.5,6.1128804e-09,5.6854326e-08
2022-01-01 00:00:00,60.0,36.75,-8.75,7.3777993e-09,5.4347886e-08
2022-01-01 00:00:00,60.0,36.75,-8.0,6.158469e-09,5.4044087e-08
2022-01-01 00:00:00,60.0,36.75,-7.25,5.374637e-09,5.2455164e-08
2022-01-01 00:00:00,60.0,36.75,-6.5,9.404495e-09,4.375525e-08
2022-01-01 00:00:00,60.0,36.75,-5.75,1.3008446e-08,3.5485137e-08
2022-01-01 00:00:00,60.0,36.75,-5.0,1.2977473e-08,3.443421e-08
2022-01-01 00:00:00,60.0,36.75,-4.25,1.096269e-08,4.0072436e-08
2022-01-01 00:00:00,60.0,36.75,-3.5,7.778372e-09,4.7614876e-08
2022-01-01 00:00:00,60.0,36.75,-2.75,7.0015953e-09,5.0690147e-08
2022-01-01 00:00:00,60.0,36.75,-2.0,7.598434e-09,5.2630377e-08
2022-01-01 00:00:00,60.0,36.75,-1.25,7.007198e-09,5.853434e-08
2022-01-01 00:00:00,60.0,36.75,-0.5,6.7243167e-09,6.5399036e-08
2022-01-01 00:00:00,60.0,36.75,0.25,8.303406e-09,6.504184e-08
2022-01-01 00:00:00,60.0,36.75,1.0,1.0743587e-08,6.1658305e-08
2022-01-01 00:00:00,60.0,36.75,1.75,1.6131565e-08,5.765505e-08
2022-01-01 00:00:00,60.0,36.75,2.5,3.1721473e-08,4.7493657e-08
2022-01-01 00:00:00,60.0,36.75,3.25,5.113876e-08,3.612091e-08
2022-01-01 00:00:00,60.0,36.0,-9.5,4.518451e-09,6.087402e-08
2022-01-01 00:00:00,60.0,36.0,-8.75,5.3183764e-09,5.975159e-08
2022-01-01 00:00:00,60.0,36.0,-8.0,5.9119247e-09,5.928966e-08
2022-01-01 00:00:00,60.0,36.0,-7.25,5.8606306e-09,5.9449263e-08
2022-01-01 00:00:00,60.0,36.0,-6.5,5.8347953e-09,5.9163575e-08
2022-01-01 00:00:00,60.0,36.0,-5.75,7.9792315e-09,5.6053196e-08
2022-01-01 00:00:00,60.0,36.0,-5.0,8.857729e-09,5.464912e-08
2022-01-01 00:00:00,60.0,36.0,-4.25,6.632962e-09,5.815351e-08
2022-01-01 00:00:00,60.0,36.0,-3.5,6.5274572e-09,5.8923078e-08
2022-01-01 00:00:00,60.0,36.0,-2.75,6.388404e-09,6.0299506e-08
2022-01-01 00:00:00,60.0,36.0,-2.0,6.7680577e-09,6.181133e-08
2022-01-01 00:00:00,60.0,36.0,-1.25,1.1316242e-08,5.846409e-08
2022-01-01 00:00:00,60.0,36.0,-0.5,1.9106338e-08,4.9057803e-08
2022-01-01 00:00:00,60.0,36.0,0.25,2.1348e-08,3.8562234e-08
2022-01-01 00:00:00,60.0,36.0,1.0,2.2991447e-08,2.6839977e-08
2022-01-01 00:00:00,60.0,36.0,1.75,3.138642e-08,1.8437028e-08
2022-01-01 00:00:00,60.0,36.0,2.5,4.382725e-08,1.2616639e-08
2022-01-01 00:00:00,60.0,36.0,3.25,5.075879e-08,1.0485636e-08
2022-01-01 03:00:00,60.0,43.5,-9.5,1.1095344e-08,4.15674e-08
2022-01-01 03:00:00,60.0,43.5,-8.75,1.2875968e-08,3.409095e-08
2022-01-01 03:00:00,60.0,43.5,-8.0,1.1075772e-08,3.3862268e-08
2022-01-01 03:00:00,60.0,43.5,-7.25,1.3618435e-08,3.2461873e-08
2022-01-01 03:00:00,60.0,43.5,-6.5,1.9034875e-08,2.9031444e-08
2022-01-01 03:00:00,60.0,43.5,-5.75,1.7792186e-08,3.0125154e-08
2022-01-01 03:00:00,60.0,43.5,-5.0,1.2318632e-08,3.4895532e-08
2022-01-01 03:00:00,60.0,43.5,-4.25,9.680895e-09,3.615197e-08
2022-01-01 03:00:00,60.0,43.5,-3.5,1.0650182e-08,3.3699887e-08
2022-01-01 03:00:00,60.0,43.5,-2.75,1.1544812e-08,3.100458e-08
2022-01-01 03:00:00,60.0,43.5,-2.0,1.156394e-08,2.8368245e-08
2022-01-01 03:00:00,60.0,43.5,-1.25,1.12953655e-08,2.6366873e-08
2022-01-01 03:00:00,60.0,43.5,-0.5,1.3749747e-08,2.0452912e-08
2022-01-01 03:00:00,60.0,43.5,0.25,1.4211127e-08,1.8283753e-08
2022-01-01 03:00:00,60.0,43.5,1.0,1.39257414e-08,1.8195589e-08
